0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
1570-@	腐	腐	fǔ	verfaulen, verderben	verfaulen	Amtssitz (府) + Fleisch (肉月)	Amtssitz + Fleisch	肉 Fleisch, das so alt ist, wie die Akten in den Archiven eines 府 Amtssitzes, ist sicherlich 腐 verfault.	豆腐 = dòu fǔ = Sojabohnenkäse/Tofu // 腐化 = fǔ huà = degeneriert, sittlich verkommen // 腐敗 = fǔ bài = verfault, verfallen; korrupt
1571-@	符	符	fú	(Kennzeichen, entsprechen, übereinstimmen)	Kennzeichen/entsprechen	Bambus (竹) + übergeben/bezahlen (付)	Bambus + übergeben/bezahlen	竹 Bambus-Täfelchen mit persönlichem 符 Kennzeichen (Unterschrift, Siegel?) werden an offizieller Stelle 付 übergeben und dort verglichen, ob sie dem hinterlegten Zeichen 符 entsprechen.	符合 = fú hé = übereinstimmen // 注音符號 = zhù yīn fú hào = Zhuyin-/Bopomofo-Lautschrift [in Taiwan gebräuchlich] // 符號 = fú hào = Symbol, Notation
1572-@	村	村	cūn	(Siedlung, Dorf, Weiler)	Siedlung	Baum/Holz (木) + Daumen/Hand (寸)	Baum/Holz + Daumen/Hand	In der Nähe einer 村 Siedlung gibt zumeist 木 Bäume und andere Nutzpflanzen, die mir der Hand (hier: 寸 Daumen) bearbeitet und geerntet werden.	農村 = nóng cūn = Land, ländliche Gegend; Dorf // 中關村 = zhōng guān cūn = Zhongguancun (High-Tech-Park in Peking, "Silicon Valley von China") // 村子 = cūn zi = Dorf, Siedlung, Weiler
1573-@	冠	冠	1) guān / 2) guàn	1) (Krone, Hut) / 2) (an erster Stelle)	Krone	Deckel* (冖) + Erster/Dollar (元) + Daumen/Hand (寸)	Deckel* + Erster/Dollar + Daumen/Hand	Eine 冠 Krone ist eine Art 冖 Deckel, die sich der 元 Erste im Land mit der Hand (bzw. dem 寸 Daumen) aufsetzt.	王冠 = wáng guān = Königskrone // 雞冠 = jī guān = Hahnenkamm // 齒冠 = chǐ guān = Zahnkrone // 冠軍 = guàn jūn = Meister, Bester, Champion
1574-@	尋	寻	xún	suchen, auf der Suche sein	suchen/forschen	drei-Finger-Hand* (彐) + Arbeit (工) + Mund (口) + Daumen/Hand (寸)	drei-Finger-Hand* + Arbeit + Mund + Daumen/Hand	Wie kann man etwas enträtseln, 尋 suchen, 尋 erforschen? - Durch Kommunikation mit dem 口 Mund, und durch 工 Arbeit mit beiden Händen (oben eine 彐 Hand mit drei Fingern und unten nur der 寸 Daumen einer Hand).	尋找 = xún zhǎo = suchen, auf der Suche sein, fahnden, forschen // 找尋 = zhǎo xún = suchen // 尋思 = xún sī = überlegen, nachdenken
1575-@	豐	丰	fēng	(reichlich)	reichhaltig			Bild einer opulenten Pflanze mit vielen Zweigen oder Blüten auf einem 豆 Sockel: ein Symbol für Überfluß, 豐 Reichhaltigkeit.	豐富 = fēng fù = reich // 豐原 = fēng yuán = Fengyuan, auch: Fongyuan, Fengyuen [Stadt in Taiwan] // 匯豐銀行 = huì fēng yín háng = Hongkong and Shanghai Banking Corporation (HSBC)
1576-@	優	优	yōu	(vorzüglich, ausgezeichnet)	vorzüglich	Person (人亻) + besorgt (憂)	Person + besorgt	Eine 亻 Person, die sich 憂 besorgt um andere kümmert, hat einen 優 vorzüglichen Charakter.	優點 = yōu diǎn = Vorteil // 優秀 = yōu xiù = ausgezeichnet, hervorragend, exzellent // 優良 = yōu liáng = fein, hochwertig, gut
1577-@	釣	钓	diào	(angeln)	angeln	Gold/Metall (金) + Löffel (勺)	Gold/Metall + Löffel	Kein 勺 Löffel, sondern ein Haken aus 金 Metall, mit dem man prima 釣 angeln kann.	釣魚 = diào yú = fischen, angeln // 垂釣 = chuí diào = angeln // 釣竿 = diào gān = Angelrute
1578-1	丏				unterschlüpfen*			Ein um 180° gedrehter 止 Fußabdruck (leicht verändert) zeigt an: hier hat sich jemand versteckt, ist 丏 untergeschlüpft.	
1578-@	賓	宾	bīn	(Gast)	Gast	Dach* (宀) + unterschlüpfen* (丏) + Muschel/Geld (貝)	Dach* + unterschlüpfen* + Muschel/Geld	Jemand, der unter einem 宀 Dach 丏 unterschlüpft und zumeist vom Gastgeber so wertvoll wie 貝 Geld behandelt wird: ein 賓 Gast in der Fremde.	賓館 = bīn guǎn = Gästehaus, Hotel // 外賓 = wài bīn = ausländischer Besucher, Gast aus dem Ausland // 賓語 = bīn yǔ = [gramm.] Objekt
1579-@	齊	齐	qí	gleichmäßig, gleich, alle	gleichmäßig/ordentlich			Das Zeichen ist eine perspektivische Darstellung eines 齊 ordentlichen, 齊 gleichmäßig gewachsenen Kornfelds; oben der Horizont, unten der Vordergrund.	整齊 = zhěng qí = ordentlich, gleichmäßig // 一齊 = yī qí = gleichzeitig, zusammen, unisono, einstimmig, im Einklang // 齊全 = qí quán = komplett; vollständig
1580-@	濟	济	jì	(helfen)	hinüberhelfen	Wasser (水氵) + gleichmäßig/ordentlich (齊)	Wasser + gleichmäßig/ordentlich	Ursprüngliche Bedeutung: "einen Fluß überqueren"; dies tut man am besten dort, wo das 氵 Wasser 齊 gleichmäßig und 齊 ordentlich (also ruhig) fließt. Beim Überqueren des Wassers braucht man oft jemanden, der einem 濟 hinüberhilft - daraus die heutige Bedeutung: helfen, unterstützen.	經濟 = jīng jì = Wirtschaft, Ökonomie, [Abk. der Redensart: 經世濟民: regieren zum Nutzen des Volkes] // 經世濟民 = jīng shì jì mín = regieren zum Nutzen des Volkes [Redensart] // 經濟特區 = jīng jì tè qū = Sonderwirtschaftszone [wie z. B. Shenzhen]
1581-@	擠	挤	jǐ	pressen, sich drängen, vollgestopft	pressen	Hand (手扌) + gleichmäßig/ordentlich (齊)	Hand + gleichmäßig/ordentlich	Mit den 扌 Händen etwas solange drücken oder 擠 pressen, bis alles schön 齊 ordentlich und 齊 gleichmäßig ist.	擁擠 = yōng jǐ = drängeln, sich drängen // 夾擠 = jiā jǐ = quetschen, eingequetscht sein (zwischen zwei Personen/Dingen)
1582-@	劑	剂	jì	Pharmazeutikum, Dosis [ZEW]	Dosis	gleichmäßig/ordentlich (齊) + Messer (刀刂)	gleichmäßig/ordentlich + Messer	Eine 劑 Dosis (einer medizinischen oder chemischen) Substanz muß 齊 gleichmäßig und 齊 ordentlich hergestellt werden; dabei ist u. a. ein 刂 Messer nützlich.	試劑 = shì jì = Reagens // 藥劑師 = yào jì shī = Apotheker // 劑量 = jì liàng = Dosis; dosieren
1583-@	衷	衷	zhōng	(innere Gefühle; im Herzen; Herzensgrund)	innere-Gefühle	Kleidung (衣衤) + Mitte (中)	Kleidung + Mitte	Innerhalb der 衣 Kleidung (Komponente in zwei Teile getrennt) in der 中 Mitte des Körpers ist unser 衷 Herzensgrund, in dem unsere 衷 inneren Gefühle verborgen sind.	言不由衷 = yán bù yóu zhōng = unaufrichtig sprechen [Redensart] // 無動於衷 = wú dòng yú zhōng = gleichgültig, lässig, halbherzig, indifferent, desinteressiert [Redensart] // 衷心感謝 = zhōng xīn gǎn xiè = aus tiefstem Herzen danken
1584-@	委	委	wěi	(beauftragen)	abordnen	Getreide* (禾) + Frau (女)	Getreide* + Frau	女 Frauen wurden 委 abgeordnet bzw. 委 beauftragt, sich um das 禾 Getreide zu kümmern, es zu ernten und einzubringen.	委員 = wěi yuán = Ausschußmitglied, Mitglied eines Komitees // 委員會 = wěi yuán huì = Komitee // 委托 = wěi tuō = beauftragen, betrauen
1585-@	矮	矮	ǎi	niedrig, klein	klein/niedrig	Pfeil* (矢) + abordnen (委)	Pfeil* + abordnen	女 Frauen, die 委 abgeordnet wurden, um in den 禾 Getreide-Feldern zu arbeiten, sind bei der Arbeit gebeugt, also 矮 klein oder 矮 niedrig - genau wie 矢 Pfeile, die ähnlich 矮 klein sind.	矮小 = ǎi xiǎo = sehr klein, zwergenhaft // 矮子 = ǎi zi = Zwerg // 矮胖 = ǎi pàng = klein und dick, untersetzt
1586-@	寄	寄	jì	senden, schicken	anvertrauen/versenden	Dach* (宀) + sonderbar (奇)	Dach* + sonderbar	Dinge, die sich normalerweise nicht unter dem 宀 Dach von jemandem befinden, sind "奇 sonderbar"; sie wurden ihm wahrscheinlich 寄 anvertraut. Beim 寄 Versenden werden die Sendungen der Post anvertraut.	寄費 = jì fèi = Postgebühr, Briefgebühr // 郵寄 = yóu jì = mit der Post schicken/senden
1587-@	焦	焦	jiāo	verbrannt, Koks	verbrannt	kleiner-Vogel* (隹) + Feuer (火灬)	kleiner-Vogel* + Feuer	Landet ein 隹 (kleiner) Vogel im 灬 Feuer, ist er schnell 焦 verbrannt.	焦急 = jiāo jí = beunruhigt, besorgt // 焦慮 = jiāo lǜ = ängstlich, besorgt, nervös // 焦渴 = jiāo kě = sterben vor Durst
1588-@	蕉	蕉	jiāo	(Banane; Palme)	Banane	Pflanzen/Gras* (艸艹) + verbrannt (焦)	Pflanzen/Gras* + verbrannt	艹 Pflanzen-Früchte, die nach dem Pflücken schnell schwarz werden, also wie 焦 verbrannt aussehen: 蕉 Bananen!	香蕉 = xiāng jiāo = Banane
1589-@	瞧	瞧	qiáo	sehen, erblicken, bemerken	erblicken	Auge (目) + verbrannt (焦)	Auge + verbrannt	Manchmal 瞧 erblickt man etwas so Extremes, daß es einem fast die 目 Augen 焦 verbrennt.	瞧不起 = qiáo bù qǐ = verachten, geringschätzen, nicht viel von jmd./etw. halten // 瞧不上眼 = qiáo bù shàng yǎn = jmd. keines Blickes würdigen, auf etw. pfeifen // 瞧得起 = qiáo de qǐ = wertschätzen, viel übrig haben für jmd./etw., große Stücke halten auf jmd./etw.
1590-1	昌				gedeihen*			"Die 日 Sonne kommt hervor", dies sagt jemand mit offenem 曰 Mund (mit Zunge) - hoffend, daß seine Felder, sein Wohlstand 昌 gedeihen mögen.	
1590-@	唱	唱	chàng	singen	singen	Mund (口) + gedeihen* (昌)	Mund + gedeihen*	Nicht einfach nur sprechen, sondern Töne durch den 口 Mund 昌 gedeihen, aufblühen lassen: 唱 singen!	唱歌 = chàng gē = (Lieder) singen // 大合唱 = dà hé chàng = Chor, Kantate // 演唱會 = yǎn chàng huì = Gesangsaufführung
1591-@	志	志	zhì	(Ideal, sich einprägen)	sich-einprägen	Gelehrter (士) + Herz/Gefühl (心忄)	Gelehrter + Herz/Gefühl	Ein 士 Gelehrter liest, studiert, 志 prägt sich ambitioniert die Dinge ein - mit 心 Herz und natürlich Verstand. Ein 志 Ideal?	同志 = tóng zhì = Genosse [VRC]; Homosexueller [TW] // 意志 = yì zhì = Wille // 有志者事竟成 = yǒu zhì zhě shì jìng chéng = wo ein Wille ist, ist auch ein Weg
1592-@	誌	志	zhì	aufzeichnen, Beschreibung	Aufzeichnungen	Rede (言) + sich-einprägen (志)	Rede + sich-einprägen	言 Reden 志 prägen sich besser durch schriftliche 誌 Aufzeichnungen ein.	雜誌 = zá zhì = Zeitschrift, Magazin // 網誌 = wǎng zhì = Weblog, Blog // 標誌 = biāo zhì = Kennzeichen, Merkmal, Symbol; kennzeichnen, symbolisieren
1593-@	劃	划	huà	abgrenzen, planen, markieren	abgrenzen/planen	Bild/malen (畫) + Messer (刀刂)	Bild/malen + Messer	劃 Planen bedeutet oft, daß ein 畫 Bild des antizipierten Objekts 畫 gemalt wird. Dabei muß man, da nicht unbegrenzte Resourcen zur Verfügung stehen, 劃 abgrenzen; dies wird durch ein 刂 Messer symbolisiert.	計劃 = jì huà = Plan; planen // 計劃生育 = jì huà shēng yù = Geburtenkontrolle, Familienplanung // 計劃生育政策 = jì huà shēng yù zhèng cè = Ein-Kind-Politik, Geburtenkontrollpolitik
1594-@	雀	雀	1) qiǎo / 2) què	1) (Spatz, Sperling) / 2) (Spatz, Sperling)	Sperling	klein (小) + kleiner-Vogel* (隹)	klein + kleiner-Vogel*	Ein häufig anzutreffendes, 小 kleines 隹 Vögelchen: der 雀 Sperling.	麻雀 = má què = Spatz, Sperling; Mahjongg [Spiel]  // 孔雀 = kǒng què = Pfau // 雀躍 = què yuè = einen Luftsprung machen, aus Freude springen
1595-@	茶	茶	chá	Tee	Tee	Pflanzen/Gras* (艸艹) + Person (人亻) + Baum/Holz (木)	Pflanzen/Gras* + Person + Baum/Holz	Eine 木 Baum-artige 艹 Pflanze, deren Blätter von vielen 人 Personen aufgegossen und als 茶 Tee getrunken werden.	紅茶 = hóng chá = schwarzer Tee // 龍井茶 = lóng jǐng chá = Drachenbrunnentee [berühmter Tee aus Hangzhou] // 烏龍茶 = wū lóng chá = Oolong-Tee
1596-@	途	途	tú	(Strecke, Weg)	Strecke/Weg	Individualist* (余) + rasch-gehen* (辵辶)	Individualist* + rasch-gehen*	Der 余 Individualist 辶 geht (rasch) und eigenständig seinen 途 Weg, die 途 Strecke, die er will.	長途 = cháng tú = Fern-, Langstrecke // 旅途 = lǚ tú = Reise // 前途 = qián tú = Zukunft
1597-@	塗	涂	tú	beschmieren, durchstreichen	beschmieren	Wasser (水氵) + Individualist* (余) + Erde (土)	Wasser + Individualist* + Erde	"余 Individualistisches" 氵 Wasser macht, was es will, überschwemmt 土 Erde, erzeugt Schlamm, der alles 塗 beschmiert.	糊塗 = hú tú = konfus, wirr, durcheinander, unklar (sein) // 塗改 = tú gǎi = ändern, verändern // 塗改液 = tú gǎi yè = Tipp-Ex, Korrekturflüssigkeit
1598-@	斜	斜	xié	schief, schräg	schräg/schief	Individualist* (余) + zehn-Löffel* (斗)	Individualist* + zehn-Löffel*	Der Waagbalken einer Waage steht 斜 schräg, wenn nur eine "余 individualistische" Seite - mit z. B. 斗 zehn Löffeln voll - belastet ist.	傾斜 = qīng xié = neigen, schräg liegen // 斜坡 = xié pō = Abhang, Schräge // 歪斜 = wāi xié = schief, schräg, krumm
1599-@	敘	叙	xù	(sprechen, beurteilen)	sprechen/beurteilen	Individualist* (余) + schlagen* (攴攵)	Individualist* + schlagen*	Ein 余 Individualist 敘 spricht, 敘 beurteilt, verurteilt (bzw. 攵 schlägt) eigenständig.	敘談 = xù tán = plaudern // 敘述 = xù shù = erzählen, berichten, beschreiben, erwähnen
1600-@	倒	倒	1) dǎo / 2) dào	1) fallen, stürzen / 2) umstoßen, wenden; verkehrtherum; aber, im Gegenteil	umfallen/umgekehrt	Person (人亻) + erreichen/bis/nach (到)	Person + erreichen/bis/nach	Wenn eine 亻 Person den Boden 到 erreicht, ist sie 倒 umgefallen und alles wirkt "倒 umgekehrt", ähnlich wie in der Unterkomponente "至 bis" ein Pfeil den Boden erreicht.	打倒 = dǎ dǎo = jmd. stürzen // 跌倒 = diē dǎo = hinfallen, stürzen, zu Boden fallen // 倒閉 = dǎo bì = Bankrott machen, ruiniert werden // 倒是 = dào shì = tatsächlich, sogar, andererseits, im Gegenteil // 倒數 = dào shǔ = rückwärts zählen; Countdown // 幫倒忙 = bāng dào máng = jmd. einen Bärendienst erweisen (jmd. einen Dienst leisten, dessen Resultat für den Empfänger schlimme Folgen hat)
1601-@	董	董	dǒng	(beaufsichtigen, anweisen); Dong [Fam.-Name]	beaufsichtigen/führen	Pflanzen/Gras* (艸艹) + schwer/wiederholen/Schicht (重)	Pflanzen/Gras* + schwer/wiederholen/Schicht	Eine 艹 Pflanze mit 重 gewichtigen Zweigen muß 董 beaufsichtigt und in Ihrem Wachstum 董 geführt werden.	董事會 = dǒng shì huì = Direktorium, Verwaltungsrat // 董事 = dǒng shì = Direktor
1602-@	懂	懂	dǒng	verstehen	verstehen	Herz/Gefühl (心忄) + beaufsichtigen/führen (董)	Herz/Gefühl + beaufsichtigen/führen	Untergebene sollten mit 忄 Herz 董 beaufsichtigt und 董 geführt werden, d. h. der Chef muß seine Leute 懂 verstehen.	懂得 = dǒng de = verstehen, begreifen // 懂事 = dǒng shì = verständig, vernünftig
1603-1	俞				Einbaum*			Ein 俞 Einbaum ist ein 舟 Barke-ähnliches (舟 verändert zu 月) Gefährt, um ein 巜 Gewässer (ein kleiner 巛  Strom, heute 刂) zu überqueren und das hilft, daß Menschen sich versammeln (人 plus 一).	
1603-@	輸	输	shū	verlieren, transportieren	transportieren/verlieren	Fahrzeug (車) + Einbaum* (俞)	Fahrzeug + Einbaum*	Mit 車 Fahrzeug oder 俞 Einbaum werden Dinge von einer Seite zur anderen Seite 輸 transportiert; eine Seite 輸 verliert dabei diese Dinge.	運輸 = yùn shū = Transport // 輸出 = shū chū = aussenden, ausgeben, exportieren [Computer] // 輸入法 = shū rù fǎ = Eingabemethode [Computer, z. B. für chin. Zeichen]
1604-@	偷	偷	tōu	stehlen	stehlen	Person (人亻) + Einbaum* (俞)	Person + Einbaum*	Eine 亻 Person neben einem 俞 Einbaum: entweder er 偷 stielt etwas aus dem Boot (Dinge lassen sich am leichtesten beim 輸 Transport stehlen (= 輸 verlieren)) - oder er klaut das ganze Boot?	偷偷 = tōu tōu = heimlich, insgeheim, unter der Hand, verstohlen // 小偷 = xiǎo tōu = Dieb
1605-@	喻	喻	yù	(erklären; Metapher, Analogie)	erklären/Analogie	Mund (口) + Einbaum* (俞)	Mund + Einbaum*	Den 口 Mund benutzen, um etwas zu 喻 erklären, vielleicht durch 喻 Analogien oder Metaphern, also um Ideen zu transportieren wie mit einem 俞 Einbaum.	比喻 = bǐ yù = Metapher, Analogie
1606-@	愉	愉	yú	(froh)	fröhlich	Herz/Gefühl (心忄) + Einbaum* (俞)	Herz/Gefühl + Einbaum*	Ein 愉 fröhliches Gefühl umgibt das 忄 Herz, wenn man in einem 俞 Einbaum auf dem Wasser ist.	愉快 = yú kuài = zufrieden sein, sich freuen; froh
1607-@	愈	愈	yù	(besser)	besser	Einbaum* (俞) + Herz/Gefühl (心忄)	Einbaum* + Herz/Gefühl	俞 Einbaum und 心 Herz sind lebenswichtig. Beides muß man gut behandeln, nur dann wird alles 愈 besser!	愈來愈 = yù lái yù = mehr und mehr // 愈加 = yù jiā = um so mehr, sogar mehr, darüber hinaus // 病愈 = bìng yù = wiederherstellen (nach Krankheit), gesunden
1608-@	息	息	xī	(Botschaft, Zinsen, Atem, aufhören)	Atem/Pause/Botschaft	selbst/Nase (自白) + Herz/Gefühl (心忄)	selbst/Nase + Herz/Gefühl	Anhalten, eine 息 Pause machen, aus dem 心 Herzen (bzw. der Lunge) durch die 自 Nase aus- 息 atmen. 息 Botschaften sind "Lebens"-Zeichen, also von einem, der noch atmet.	休息 = xiū xī = sich ausruhen, eine Pause machen, freihaben // 消息 = xiāo xī = Nachricht, Neuigkeit, Lebenszeichen // 不息 = bù xī = immer zu, fortwährend
1609-@	咱	咱	zán	(wir: du/ihr und ich)	du-und-ich	Mund (口) + selbst/Nase (自白)	Mund + selbst/Nase	Ich weiß 自 selbst, wie ich heiße. Die anderen sagen es mir 口 münd- lich. Zusammen sind wir "咱 du und ich" (oder das inklusive "wir": 咱).	咱們 = zán men = wir, [inklusives "wir"]
1610-@	泳	泳	yǒng	(schwimmen)	schwimmen	Wasser (水氵) + ewig (永)	Wasser + ewig	Wenn jemand 泳 schwimmen kann, kann er, ohne zu ertrinken, nahezu 永 ewig im 氵 Wasser bleiben -  zumindest im Vergleich zu einer Person, die nicht schwimmen kann!	游泳 = yóu yǒng = schwimmen // 游泳池 = yóu yǒng chí = Schwimmbecken, Pool // 泳衣 = yǒng yī = Badeanzug, Badebekleidung
1611-@	池	池	chí	Teich	Teich/Bassin	Wasser (水氵) + auch (也)	Wasser + auch	Rechts das Bild des Ausschüttens einer Flüssigkeit, die "也 auch" an andere verteilt werden kann; links zusätzlich verdeutlicht durch 氵 Wasser. Ein 池 Teich, ein 池 Bassin ist eine Art Flüssigkeitsspeicher.	游泳池 = yóu yǒng chí = Schwimmbecken, Pool // 小池子 = xiǎo chí zi = Tümpel // 電池 = diàn chí = Batterie
1612-1	廷				Kaiserhof*			Am 廷 Kaiserhof braucht der Kaiser oder 王 König höchstens sitzen oder liegen; seine Bediensteten 廴 gehen für ihn und tragen ihn.	
1612-@	庭	庭	tíng	(Hof)	Hof	Schutzdach* (广) + Kaiserhof* (廷)	Schutzdach* + Kaiserhof*	庭 Höfe sind ein selbstverständlicher Teil einer Anlage von Palast- und Audienzhallen (= 广 Schutzdach) am 廷 Kaiserhof.	家庭 = jiā tíng = Familie // 法庭 = fǎ tíng = Gericht, Gerichtshof // 家庭婦女 = jiā tíng fù nǚ = Hausfrau
1613-@	挺	挺	tǐng	sehr, äußerst; aufrechtstehen, herausragen, standhalten, durchhalten	herausragen/äußerst	Hand (手扌) + Kaiserhof* (廷)	Hand + Kaiserhof*	Die 扌 Hand des Kaisers am 廷 Kaiserhof 挺 ragt aus der Masse heraus und symbolisiert 挺 äußerste Macht.	挺好 = tǐng hǎo = sehr gut // 挺立 = tǐng lì = aufrecht stehen // 挺拔 = tǐng bá = kräftig, standhaft, herausragend
1614-@	悅	悦	yuè	(erfreuen)	erfreuen	Herz/Gefühl (心忄) + tauschen/fort/weg (兌)	Herz/Gefühl + tauschen/fort/weg	Wenn mich etwas 悅 erfreut, wird meine 忄 Gefühls-Situation ausge- 兌 tauscht; die negativen Gefühle sind 兌 weg.	賞心悅目 = shǎng xīn yuè mù = Herz und Auge erfreuen, eine Augenweide sein [Redensart] // 悅目 = yuè mù = gutaussehend // 喜悅 = xǐ yuè = fröhlich, glücklich
1615-@	螞	蚂	1) mā / 2) mǎ / 3) mà	1) (Libelle) / 2) (Ameise) / 3) (Heuschrecke)	Ameise/Heuschrecke/Libelle	Insekt/Wurm* (虫) + Pferd (馬)	Insekt/Wurm* + Pferd	虫 Insekten, deren Kopf dem eines 馬 Pferdes ähnelt: 螞 Ameise, 螞 Heuschrecke, 螞 Libelle, ...	螞螂 = mā láng = Libelle // 螞蟻 = mǎ yǐ = Ameise
1616-@	蟻	蚁	yǐ	(Ameise)	Ameise	Insekt/Wurm* (虫) + Gerechtigkeit (義)	Insekt/Wurm* + Gerechtigkeit	虫 Insekten, die sich an 義 Gerechtigkeits- Grundsätze halten: 蟻 Ameisen.	螞蟻 = mǎ yǐ = Ameise
1617-@	腿	腿	tuǐ	Bein	Bein	Fleisch (肉月) + zurückgehen (退)	Fleisch + zurückgehen	Ein Teil des Körpers, bestehend aus 月 Fleisch und Knochen, der dazu geeignet ist, im Fall einer Gefahr schnell 退 zurückzugehen: die 腿 Beine.	大腿 = dà tuǐ = Oberschenkel // 小腿 = xiǎo tuǐ = Unterschenkel, Wade // 腿子 = tuǐ zi = gedungener Gauner, Handlanger
